,entityId,type,current.type,current.value,power.type,power.value,bus_voltage.type,bus_voltage.value,shunt_voltage.type,shunt_voltage.value,location.type,location.value.type,location.value.coordinates,observedAt.type,observedAt.value
3423,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2896,Float,3.769434,Float,13.016,Float,0.028960000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:46:50
3424,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2612,Float,3.399779,Float,13.016,Float,0.02612,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:20
3425,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2596,Float,3.383107,Float,13.032,Float,0.02596,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:50
3426,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1772,Float,2.296512,Float,12.96,Float,0.017720000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:20
3427,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1932,Float,2.514691,Float,13.016,Float,0.01932,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:50
3428,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.182,Float,2.363088,Float,12.984,Float,0.0182,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:20
3429,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.234,Float,3.040128,Float,12.992,Float,0.0234,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:50
3430,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1948,Float,2.530841,Float,12.992,Float,0.01948,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:20
3431,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1408,Float,1.824768,Float,12.96,Float,0.01408,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:50
3432,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.196,Float,2.543296,Float,12.976,Float,0.0196,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:20
3433,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1784,Float,2.313491,Float,12.968,Float,0.01784,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:50
3434,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.22160000000000002,Float,2.864845,Float,12.928,Float,0.022160000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:20
3435,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1832,Float,2.375738,Float,12.968,Float,0.018320000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:50
3436,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1956,Float,2.538106,Float,12.976,Float,0.01956,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:20
3437,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.21680000000000002,Float,2.807993,Float,12.952,Float,0.02168,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:50
3438,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.318,Float,4.113648,Float,12.936,Float,0.0318,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:54:20
3439,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.176,Float,2.278144,Float,12.944,Float,0.0176,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:54:50
3440,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2296,Float,2.971942,Float,12.944,Float,0.02296,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:55:20
3441,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2136,Float,2.76313,Float,12.936,Float,0.02136,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:55:50
3442,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.22840000000000002,Float,2.958237,Float,12.952,Float,0.022840000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:56:20
3443,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.23520000000000002,Float,3.036902,Float,12.912,Float,0.023520000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:56:50
3444,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2212,Float,2.870291,Float,12.976,Float,0.02212,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:57:20
3445,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2104,Float,2.721734,Float,12.936,Float,0.021040000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:57:50
3446,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2056,Float,2.659642,Float,12.936,Float,0.020560000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:58:20
3447,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.33840000000000003,Float,4.377543,Float,12.936,Float,0.03384,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:58:50
3448,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1892,Float,2.447491,Float,12.936,Float,0.018920000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:59:20
3449,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2268,Float,2.939328,Float,12.96,Float,0.022680000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:59:50
3450,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2076,Float,2.682192,Float,12.92,Float,0.02076,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:00:20
3451,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2092,Float,2.706211,Float,12.936,Float,0.02092,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:00:50
3452,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.22080000000000002,Float,2.854502,Float,12.928,Float,0.022080000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:01:20
3453,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1724,Float,2.232925,Float,12.952,Float,0.017240000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:02:06
3454,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2876,Float,3.720393,Float,12.936,Float,0.02876,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:02:36
3455,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.14880000000000002,Float,1.928448,Float,12.96,Float,0.01488,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:03:06
3456,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1588,Float,2.050426,Float,12.912,Float,0.015880000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:03:36
3457,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1816,Float,2.352083,Float,12.952,Float,0.018160000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:04:06
3458,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1312,Float,1.7014019999999999,Float,12.968,Float,0.013120000000000001,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:04:36
3459,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1932,Float,2.500781,Float,12.944,Float,0.01932,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:05:06
3460,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1804,Float,2.335098,Float,12.944,Float,0.01804,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:05:36
3461,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.23040000000000002,Float,2.982298,Float,12.944,Float,0.02304,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:06:06
3462,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2576,Float,3.3323139999999998,Float,12.936,Float,0.02576,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:06:36
3463,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1952,Float,2.523546,Float,12.928,Float,0.019520000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:07:06
3464,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1884,Float,2.435635,Float,12.928,Float,0.018840000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:07:36
3465,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.22760000000000002,Float,2.93695,Float,12.904,Float,0.022760000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:08:06
3466,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2556,Float,3.304397,Float,12.928,Float,0.025560000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:08:36
3467,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.19360000000000002,Float,2.505958,Float,12.944,Float,0.019360000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:09:06
3468,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.22640000000000002,Float,2.923277,Float,12.912,Float,0.02264,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:09:36
3469,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2536,Float,3.276512,Float,12.92,Float,0.02536,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:10:06
3470,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2788,Float,3.606556,Float,12.936,Float,0.027880000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:10:36
3471,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.20040000000000002,Float,2.593978,Float,12.944,Float,0.020040000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:11:06
3472,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.23120000000000002,Float,2.998202,Float,12.968,Float,0.02312,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:11:36
3473,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1908,Float,2.4651359999999998,Float,12.92,Float,0.019080000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:12:06
3474,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2192,Float,2.835571,Float,12.936,Float,0.021920000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:12:36
3475,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.2228,Float,2.892835,Float,12.984,Float,0.02228,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:13:06
3476,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.24760000000000001,Float,3.204935,Float,12.944,Float,0.02476,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:13:36
3477,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1764,Float,2.284733,Float,12.952,Float,0.017640000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:14:06
3478,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.20120000000000002,Float,2.599504,Float,12.92,Float,0.020120000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:14:36
3479,urn:ngsi-ld:energy:Battery:001,Battery,Float,0.1796,Float,2.3261789999999998,Float,12.952,Float,0.01796,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 08:15:06
