,entityId,type,temperature.type,temperature.value,atmosphericPressure.type,atmosphericPressure.value,relativeHumidity.type,relativeHumidity.value,location.type,location.value.type,location.value.coordinates,observedAt.type,observedAt.value
3423,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.52,Float,1031.005,Float,50.26758,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:46:50
3424,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.54,Float,1030.981,Float,50.33594,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:20
3425,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.56,Float,1030.962,Float,50.45117,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:50
3426,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.6,Float,1030.958,Float,50.66699,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:20
3427,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.64,Float,1030.957,Float,50.92773,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:50
3428,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.67,Float,1030.966,Float,51.1543,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:20
3429,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.71,Float,1030.966,Float,51.33691,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:50
3430,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.75,Float,1030.979,Float,51.50879,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:20
3431,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.79,Float,1030.979,Float,51.64746,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:50
3432,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.83,Float,1030.983,Float,51.77441,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:20
3433,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.87,Float,1030.964,Float,51.87891,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:50
3434,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.92,Float,1030.969,Float,51.97363,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:20
3435,urn:ngsi-ld:AirQuality:001,AirQuality,Float,15.96,Float,1030.967,Float,52.05664,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:50
3436,urn:ngsi-ld:AirQuality:001,AirQuality,Float,16.01,Float,1030.954,Float,52.12891,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:20
3437,urn:ngsi-ld:AirQuality:001,AirQuality,Float,16.06,Float,1030.959,Float,52.16797,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:50
3438,urn:ngsi-ld:AirQuality:001,AirQuality,Float,16.11,Float,1030.94,Float,52.20801,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:54:20
