,entityId,type,current.type,current.value,power.type,power.value,bus_voltage.type,bus_voltage.value,shunt_voltage.type,shunt_voltage.value,location.type,location.value.type,location.value.coordinates,observedAt.type,observedAt.value
3423,urn:ngsi-ld:energy:System:001,System,Float,-0.294,Float,-1.477056,Float,5.024,Float,-0.029400000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:46:50
3424,urn:ngsi-ld:energy:System:001,System,Float,-0.27440000000000003,Float,-1.37639,Float,5.016,Float,-0.027440000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:20
3425,urn:ngsi-ld:energy:System:001,System,Float,-0.2612,Float,-1.310179,Float,5.016,Float,-0.02612,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:47:50
3426,urn:ngsi-ld:energy:System:001,System,Float,-0.20600000000000002,Float,-1.034944,Float,5.024,Float,-0.0206,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:20
3427,urn:ngsi-ld:energy:System:001,System,Float,-0.26480000000000004,Float,-1.328237,Float,5.016,Float,-0.026480000000000004,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:48:50
3428,urn:ngsi-ld:energy:System:001,System,Float,-0.3032,Float,-1.523277,Float,5.024,Float,-0.030320000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:20
3429,urn:ngsi-ld:energy:System:001,System,Float,-0.2644,Float,-1.32623,Float,5.016,Float,-0.02644,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:49:50
3430,urn:ngsi-ld:energy:System:001,System,Float,-0.19440000000000002,Float,-0.9766659999999999,Float,5.024,Float,-0.019440000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:20
3431,urn:ngsi-ld:energy:System:001,System,Float,-0.2852,Float,-1.430563,Float,5.016,Float,-0.028520000000000004,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:50:50
3432,urn:ngsi-ld:energy:System:001,System,Float,-0.196,Float,-0.983136,Float,5.016,Float,-0.0196,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:20
3433,urn:ngsi-ld:energy:System:001,System,Float,-0.2736,Float,-1.372377,Float,5.016,Float,-0.027360000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:51:50
3434,urn:ngsi-ld:energy:System:001,System,Float,-0.2644,Float,-1.32623,Float,5.016,Float,-0.02644,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:20
3435,urn:ngsi-ld:energy:System:001,System,Float,-0.28040000000000004,Float,-1.406486,Float,5.016,Float,-0.028040000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:52:50
3436,urn:ngsi-ld:energy:System:001,System,Float,-0.202,Float,-1.013232,Float,5.016,Float,-0.020200000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:20
3437,urn:ngsi-ld:energy:System:001,System,Float,-0.1932,Float,-0.9690909999999999,Float,5.016,Float,-0.01932,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:53:50
3438,urn:ngsi-ld:energy:System:001,System,Float,-0.2916,Float,-1.4626649999999999,Float,5.016,Float,-0.029160000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:54:20
3439,urn:ngsi-ld:energy:System:001,System,Float,-0.214,Float,-1.073424,Float,5.016,Float,-0.021400000000000002,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:54:50
3440,urn:ngsi-ld:energy:System:001,System,Float,-0.2172,Float,-1.089475,Float,5.016,Float,-0.021720000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:55:20
3441,urn:ngsi-ld:energy:System:001,System,Float,-0.2844,Float,-1.42655,Float,5.016,Float,-0.028440000000000003,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:55:50
3442,urn:ngsi-ld:energy:System:001,System,Float,-0.2672,Float,-1.3402749999999999,Float,5.016,Float,-0.02672,geo:json,Point,"[40.333188, 18.114188]",DateTime,2023-12-18 07:56:20
